model_name	response	control	model_type	term	estimate	std.error	statistic	p.value	conf.low	conf.high	neg_log10_pvalue	sample_size	rank	bonf_pvalue	fdr_pvalue
model_08	cvd	mzid_325.198429_2.2013, points	classif	points	1.0235725286353077	0.07937326113370206	12.895684441025146	4.760179670343953e-38	0.8711186018159275	1.182477107188572	37.32237665476557	1441	15	5.388047368862321e-34	6.590196262253287e-36
model_08	cvd	mzid_379.166618_4.0731, points	classif	points	1.0211993758689741	0.07919811829798008	12.894237865939543	4.850344890750294e-38	0.8690787727486886	1.1797461430671647	37.31422737916593	1441	16	5.490105381840258e-34	6.590196262253287e-36
model_08	cvd	mzid_345.240714_3.9960, points	classif	points	1.021490137617474	0.07924735156147433	12.889896223535954	5.131281287958751e-38	0.8692805756032589	1.1801383400400824	37.289774177420256	1441	17	5.808097289840511e-34	6.590196262253287e-36
model_08	cvd	mzid_329.175426_1.5189, points	classif	points	1.0349103083044446	0.08030054709645662	12.887960863595556	5.261670220907223e-38	0.8807085634180837	1.195699158172444	37.27887637512686	1441	18	5.955684523044885e-34	6.590196262253287e-36
model_08	cvd	mzid_349.202301_1.1295, points	classif	points	1.0190370090701752	0.07911893375085084	12.879812211311766	5.847767054591735e-38	0.8670478657277247	1.1774060093316328	37.23300993579718	1441	19	6.619087529092384e-34	6.590196262253287e-36
model_08	cvd	mzid_499.210792_5.0454, points	classif	points	1.0261373471219937	0.07967594302403877	12.878885497626317	5.918401929461968e-38	0.8731521492080018	1.185696372503155	37.227795544444035	1441	20	6.699039143958002e-34	6.590196262253287e-36
model_08	cvd	mzid_325.199121_2.5747, points	classif	points	1.0199807547605821	0.07919989316899216	12.87856225492888	5.943238736446598e-38	0.8678459427806351	1.1785233805855713	37.22597682403441	1441	21	6.727151925783904e-34	6.590196262253287e-36
model_08	cvd	mzid_449.254283_4.2680, points	classif	points	1.0270901609463785	0.079756893371279	12.877760373202307	6.005300683180855e-38	0.8739142294597584	1.186775205991748	37.22146524275283	1441	22	6.79739984329241e-34	6.590196262253287e-36
model_08	cvd	mzid_363.254634_3.0328, points	classif	points	1.02347750403195	0.07947700394014527	12.877655841213372	6.013438297604745e-38	0.8708334471456052	1.1825927620591539	37.22087714085863	1441	23	6.806610809058811e-34	6.590196262253287e-36
model_08	cvd	mzid_279.158850_4.7261, points	classif	points	1.0213568016701189	0.07934147655311832	12.872924049835785	6.393507809360994e-38	0.8689588855660313	1.1801891692938054	37.19426080001712	1441	24	7.236811489415709e-34	6.590196262253287e-36
model_08	cvd	mzid_305.171614_5.5198, points	classif	points	1.0196433663343927	0.07920859345662991	12.87288817838548	6.396478435413197e-38	0.8675009680903465	1.1782107536898467	37.194059059921265	1441	25	7.240173941044198e-34	6.590196262253287e-36
model_08	cvd	mzid_389.195643_6.1646, points	classif	points	1.0219903724622599	0.07939116955021079	12.872846920536976	6.399896822412906e-38	0.869522988917505	1.1809487110347199	37.193827027550164	1441	26	7.2440432132891685e-34	6.590196262253287e-36
model_08	cvd	mzid_315.192952_4.4067, points	classif	points	1.0179727453125769	0.0791021752563701	12.86908662136443	6.719201229935048e-38	0.8660350547243222	1.1763276979715775	37.17268235225128	1441	27	7.605463872163481e-34	6.590196262253287e-36
model_08	cvd	mzid_265.178650_4.4230, points	classif	points	1.0175847724978622	0.07908072247935807	12.86767167261877	6.843409317487208e-38	0.8656722477743192	1.17587936951648	37.16472748323769	1441	28	7.746055006463772e-34	6.590196262253287e-36
model_08	cvd	mzid_281.173685_4.9383, points	classif	points	1.0188294645736704	0.07918192895208295	12.866944239135881	6.908151054407111e-38	0.8667316276242444	1.1773356246732745	37.16063817466882	1441	29	7.819336178483409e-34	6.590196262253287e-36
model_08	cvd	mzid_383.208736_3.7643, points	classif	points	1.0176332520073408	0.0790981977718451	12.865441699982272	7.043811269353729e-38	0.865690074552099	1.1759643525838182	37.152192288959206	1441	30	7.972889975781486e-34	6.590196262253287e-36
model_08	cvd	mzid_395.247236_5.7311, points	classif	points	1.0189635247070672	0.07920593166642226	12.864737567868746	7.1082935621624205e-38	0.8668217307455448	1.1775176250769244	37.14823464476733	1441	31	8.045877483011645e-34	6.590196262253287e-36
model_08	cvd	mzid_347.191130_6.1336, points	classif	points	1.0189575627548506	0.07920656917377786	12.864558752939736	7.124762109349397e-38	0.8668105925264811	1.1775140780598767	37.14722963185582	1441	32	8.064518231572583e-34	6.590196262253287e-36
model_08	cvd	mzid_377.268657_2.3519, points	classif	points	1.023091807401832	0.07953141792756484	12.863995563786347	7.176879110760551e-38	0.8703604754721639	1.182339000060749	37.14406436907656	1441	33	8.123509465469868e-34	6.590196262253287e-36
model_08	cvd	mzid_425.253084_1.5497, points	classif	points	1.01775998590115	0.07911811124547603	12.863805390189283	7.19456304810435e-38	0.8657870207008448	1.176141003947687	37.142995577204736	1441	34	8.143525914149314e-34	6.590196262253287e-36
model_08	cvd	mzid_343.226509_6.5481, points	classif	points	1.0171200741586317	0.07908267724849863	12.861477501103968	7.414572105949349e-38	0.8652216895424977	1.1754378428238172	37.12991390699394	1441	35	8.392554166724068e-34	6.590196262253287e-36
model_08	cvd	mzid_347.186895_2.4520, points	classif	points	1.0189276024123854	0.07922350802966409	12.861429994123245	7.41913094195686e-38	0.8667477406170346	1.1775126517333758	37.1296469638877	1441	36	8.39771431320097e-34	6.590196262253287e-36
model_08	cvd	mzid_279.196669_4.7044, points	classif	points	1.0180069845525823	0.07915391475910842	12.861107219405568	7.450178716720131e-38	0.8659792778038168	1.1764747225249303	37.12783330916386	1441	37	8.432857289455517e-34	6.590196262253287e-36
model_08	cvd	mzid_297.184826_5.3367, points	classif	points	1.018604578752693	0.0792079595076302	12.859876521053033	7.569749527916823e-38	0.8664639048305951	1.1771717846765144	37.120918490439585	1441	38	8.568199490649052e-34	6.590196262253287e-36
model_08	cvd	mzid_297.166984_3.4622, points	classif	points	1.0163034112830522	0.07903007579586195	12.859704372651839	7.586626310050374e-38	0.864487063960525	1.1744958547059072	37.11995130719466	1441	39	8.587302320346018e-34	6.590196262253287e-36
model_08	cvd	mzid_291.194481_4.0578, points	classif	points	1.0155012652951714	0.07898224729256695	12.857335668527384	7.822679004951457e-38	0.8637828914797675	1.173604569698132	37.106644490185836	1441	40	8.854490365704555e-34	6.590196262253287e-36
model_08	cvd	mzid_389.227354_5.8234, points	classif	points	1.0169639100133079	0.07910050483515818	12.85660454547811	7.897002875378963e-38	0.8650329486884482	1.1753195336550881	37.10253770385587	1441	41	8.938617554641448e-34	6.590196262253287e-36
model_08	cvd	mzid_389.230852_2.1200, points	classif	points	1.0208617303993135	0.07941544386713578	12.854700303724842	8.093894070778911e-38	0.8683324751011292	1.1798555135598856	37.091842483756814	1441	42	9.16147869871465e-34	6.590196262253287e-36
model_08	cvd	mzid_389.230852_2.1153, points	classif	points	1.02086172977827	0.0794154438423342	12.854700299919202	8.093894469103211e-38	0.8683324745258528	1.1798555128873796	37.0918424623839	1441	43	9.161479149577925e-34	6.590196262253287e-36
model_08	cvd	mzid_315.192747_3.7049, points	classif	points	1.0164363712034292	0.07908511673095711	12.852435618970958	8.334415255704614e-38	0.8645277691351451	1.1747536654473905	37.07912486495766	1441	44	9.433724627932052e-34	6.590196262253287e-36
model_08	cvd	mzid_303.232853_4.5301, points	classif	points	1.019337089465593	0.07931390123585474	12.851934825830888	8.388553954188302e-38	0.8669953943940695	1.1781196620214498	37.076312897793784	1441	45	9.49500422074574e-34	6.590196262253287e-36
model_08	cvd	mzid_309.205018_2.8091, points	classif	points	1.0168668000487422	0.07912233849827771	12.85182944979409	8.399990168237115e-38	0.8648822855162287	1.1752531396108825	37.075721222257506	1441	46	9.507948871427591e-34	6.590196262253287e-36
model_08	cvd	mzid_269.175751_2.4300, points	classif	points	1.0194728507954864	0.07932721994519173	12.851488448729883	8.437104545490381e-38	0.8671084417065198	1.1782814455621162	37.07380656944817	1441	47	9.549958635040563e-34	6.590196262253287e-36
model_08	cvd	mzid_361.238484_2.5443, points	classif	points	1.017304337862776	0.07915901827958241	12.851401646616562	8.446578041590127e-38	0.8652541925763111	1.1757684238117942	37.073319200950095	1441	48	9.560681685275865e-34	6.590196262253287e-36
model_08	cvd	mzid_291.196428_6.1646, points	classif	points	1.0168200535335592	0.07912552184921252	12.850721610042422	8.5211633955088e-38	0.8648342400393381	1.175219397292446	37.06950110690504	1441	49	9.64510484737641e-34	6.590196262253287e-36
model_08	cvd	mzid_430.302794_6.4600, points	classif	points	1.0186502907991613	0.07926816083739747	12.850686581321286	8.52502297162125e-38	0.866405296673874	1.1773478695132091	37.06930444207917	1441	50	9.649473501578094e-34	6.590196262253287e-36
model_08	cvd	mzid_389.194373_5.8936, points	classif	points	1.016931351311691	0.07913640508111007	12.85036071918351	8.561010879406348e-38	0.8649160647258668	1.1753421186809918	37.06747495104394	1441	51	9.690208214400046e-34	6.590196262253287e-36
model_08	cvd	mzid_317.212545_3.4544, points	classif	points	1.0156133136382943	0.07903662185689139	12.849907925938773	8.611267779770047e-38	0.863797877531344	1.173833333686336	37.06493290554674	1441	52	9.747093999921716e-34	6.590196262253287e-36
model_08	cvd	mzid_261.185583_3.7483, points	classif	points	1.019056237067108	0.07930642690611363	12.849604714552463	8.645085975499818e-38	0.8667317886842706	1.1778239432435997	37.06323068330394	1441	53	9.785372815668245e-34	6.590196262253287e-36
model_08	cvd	mzid_299.259209_5.5568, points	classif	points	1.0233202067442062	0.07963897355964558	12.849490155442433	8.65789747651543e-38	0.8703922488151478	1.1827923363342097	37.062587561240264	1441	54	9.799874153667815e-34	6.590196262253287e-36
model_08	cvd	mzid_305.246873_4.9537, points	classif	points	1.018577357628063	0.07927063408206242	12.84936558692861	8.671849779403573e-38	0.8663017695369558	1.177254835675304	37.061888253930825	1441	55	9.815666765306904e-34	6.590196262253287e-36
model_08	cvd	mzid_329.232677_2.8760, points	classif	points	1.0161484817655835	0.07908692773684817	12.848501147328546	8.769289029772654e-38	0.8642304886250385	1.1744626632273392	37.05703561563772	1441	56	9.925958252799668e-34	6.590196262253287e-36
model_08	cvd	mzid_357.203937_5.0298, points	classif	points	1.0191334429608403	0.07932748513257809	12.847166921497479	8.921822779978142e-38	0.8667650700362571	1.1779445335035161	37.04954640768508	1441	57	1.0098611204657258e-33	6.590196262253287e-36
model_08	cvd	mzid_395.239110_3.4235, points	classif	points	1.0139915981760625	0.07893108099703931	12.846543913595927	8.993947850110769e-38	0.8623672715952205	1.1719897332852478	37.04604963494406	1441	58	1.018024957154038e-33	6.590196262253287e-36
model_08	cvd	mzid_315.195775_2.9853, points	classif	points	1.0152917078904107	0.07904010963859967	12.845272008511833	9.142999577237686e-38	0.8634736379674155	1.1735230071417475	37.03891130031341	1441	59	1.0348961221475336e-33	6.590196262253287e-36
model_08	cvd	mzid_389.233025_3.5406, points	classif	points	1.015131130828468	0.07903187418348179	12.844578738848098	9.225273590961211e-38	0.8633089518607356	1.173322943704185	37.03502074524664	1441	60	1.0442087177608995e-33	6.590196262253287e-36
model_08	cvd	mzid_269.157815_5.1699, points	classif	points	1.015152587294844	0.07904644066094238	12.842483213750075	9.478461611142427e-38	0.8633300796834079	1.1734040775422276	37.02326214451927	1441	61	1.0728670697652114e-33	6.590196262253287e-36
model_08	cvd	mzid_347.241914_1.7489, points	classif	points	1.0178831986314305	0.07926295548384399	12.841852696735534	9.555985866747577e-38	0.8656361976675951	1.1765578026684218	37.01972450124092	1441	62	1.0816420402571583e-33	6.590196262253287e-36
model_08	cvd	mzid_391.249939_4.7785, points	classif	points	1.018111379742047	0.07928095427131136	12.841815403204109	9.560590927763513e-38	0.8658366717682171	1.1768298467600864	37.019515263713906	1441	63	1.082163287113552e-33	6.590196262253287e-36
model_08	cvd	mzid_247.171089_3.9960, points	classif	points	1.0151738439129652	0.0790585470548122	12.840785490392753	9.688641462921661e-38	0.8633071646441237	1.1734275125103961	37.01373711526294	1441	64	1.0966573271881028e-33	6.590196262253287e-36
model_08	cvd	mzid_275.203138_6.4727, points	classif	points	1.014561738778852	0.07901180672362824	12.840634594366898	9.707545223799782e-38	0.8627911923018795	1.1727296415014365	37.01289057756266	1441	65	1.0987970438818974e-33	6.590196262253287e-36
model_08	cvd	mzid_395.241336_2.6439, points	classif	points	1.0148813514927089	0.07904192062012358	12.83978607213052	9.814530092259019e-38	0.863048177420705	1.1731032764097546	37.008130489056775	1441	66	1.1109066611427983e-33	6.590196262253287e-36
model_08	cvd	mzid_297.186646_5.5863, points	classif	points	1.019448704477138	0.07940017532466814	12.839375987629772	9.866654367548653e-38	0.8669392824074863	1.1784022824986786	37.00583008502313	1441	67	1.1168066078628321e-33	6.590196262253287e-36
model_08	cvd	mzid_317.211753_4.1899, points	classif	points	1.0141382426146581	0.07899239689951619	12.83842853768208	9.988135806462275e-38	0.8624044078039406	1.172266311402922	37.000515561275016	1441	68	1.1305570919334648e-33	6.590196262253287e-36
model_08	cvd	mzid_231.175125_2.9231, points	classif	points	1.0177038502487705	0.07927049532041525	12.838368754164604	9.995850887781838e-38	0.8654627381585758	1.1764172188099897	37.00018023104664	1441	69	1.1314303619880262e-33	6.590196262253287e-36
model_08	cvd	mzid_315.197594_4.9305, points	classif	points	1.0155581098845432	0.07910616769916028	12.837913141573202	1.005484276077491e-37	0.8636082971974719	1.1739167874219025	36.99762471658009	1441	70	1.1381076520921121e-33	6.590196262253287e-36
model_08	cvd	mzid_395.278254_6.5864, points	classif	points	1.0132469605943584	0.07893117793611674	12.837094125396606	1.0161758981697714e-37	0.8616273044237275	1.171248896921637	36.99303110997286	1441	71	1.1502094991383642e-33	6.590196262253287e-36
model_08	cvd	mzid_315.198118_4.1045, points	classif	points	1.0150479727767283	0.0790773637951304	12.836138233015237	1.0287973250200337e-37	0.8631524199920678	1.1733483405515797	36.987670173629176	1441	72	1.1644956921901761e-33	6.590196262253287e-36
model_08	cvd	mzid_327.220901_4.1352, points	classif	points	1.0161884240049648	0.07916887089418875	12.8357069202506	1.0345432010240693e-37	0.864096154343106	1.1746502873798348	36.98525136911171	1441	73	1.170999449239144e-33	6.590196262253287e-36
model_08	cvd	mzid_341.268754_6.2896, points	classif	points	1.0141185979365872	0.07900939216951923	12.835418297621338	1.0384059870337847e-37	0.8623460059892941	1.1722739703257308	36.983632816568125	1441	74	1.1753717367235409e-33	6.590196262253287e-36
model_08	cvd	mzid_323.190038_4.1745, points	classif	points	1.013834895462351	0.07898905327363484	12.835131621975666	1.0422569072819892e-37	0.862099104765075	1.1719469223205476	36.98202521802031	1441	75	1.1797305933524837e-33	6.590196262253287e-36
model_08	cvd	mzid_321.238760_5.1784, points	classif	points	1.0171552744956283	0.07924985538022886	12.834790292240543	1.0468605145919805e-37	0.8649137008964688	1.1757848495127048	36.98011118057385	1441	76	1.1849414164666626e-33	6.590196262253287e-36
model_08	cvd	mzid_249.185592_3.4777, points	classif	points	1.015212849854382	0.07910098102610869	12.834390126202011	1.0522834081487526e-37	0.8632813804400272	1.1735699353431162	36.97786727727456	1441	77	1.191079589683573e-33	6.590196262253287e-36
model_08	cvd	mzid_483.143091_3.1899, points	classif	points	1.0192221571112976	0.07942016531151402	12.833291810883889	1.0673112678275955e-37	0.8666949324634119	1.1782351077005753	36.97170890561212	1441	78	1.2080896240540553e-33	6.590196262253287e-36
model_08	cvd	mzid_297.243270_5.0532, points	classif	points	1.013333806099248	0.078962582819881	12.833088406071154	1.0701177058061538e-37	0.8616473985103656	1.1713916773945476	36.970568450192715	1441	79	1.2112662312019855e-33	6.590196262253287e-36
model_08	cvd	mzid_343.228420_4.7564, points	classif	points	1.0129669740645963	0.07893452893452622	12.833002080810813	1.071310977681093e-37	0.8613426867689032	1.1709772037997574	36.97008444486642	1441	80	1.2126168956372291e-33	6.590196262253287e-36
model_08	cvd	mzid_321.239002_6.2592, points	classif	points	1.0181180313498837	0.07933679063479507	12.832861314450037	1.073259625033617e-37	0.8657552567046622	1.1769680760188221	36.96929520806143	1441	81	1.2148225695755512e-33	6.590196262253287e-36
model_08	cvd	mzid_281.179189_4.1745, points	classif	points	1.0135436674280145	0.07898097304016843	12.832757415036438	1.0747001779952971e-37	0.8618295370466978	1.171645802640427	36.96871267919375	1441	82	1.2164531314728768e-33	6.590196262253287e-36
model_08	cvd	mzid_331.263602_6.1336, points	classif	points	1.0133729916750944	0.07896810860553945	12.832686632233818	1.075682673653604e-37	0.8616832229831722	1.1714496811997697	36.968315826631184	1441	83	1.2175652183085142e-33	6.590196262253287e-36
model_08	cvd	mzid_247.169560_3.0881, points	classif	points	1.0126725203827898	0.07891864809630877	12.831853368128781	1.0873160764330872e-37	0.8610733504138369	1.1706461171619114	36.963644190691085	1441	84	1.2307330669146114e-33	6.590196262253287e-36
model_08	cvd	mzid_231.176236_3.7337, points	classif	points	1.0134471047481393	0.07897960250683403	12.831757473842018	1.088662878706107e-37	0.8617387749064005	1.171550357662115	36.96310658542731	1441	85	1.2322575124074424e-33	6.590196262253287e-36
model_08	cvd	mzid_371.240336_3.2439, points	classif	points	1.0151912949761759	0.07912047622277865	12.83095531576065	1.099994061095123e-37	0.8632082096831367	1.1735724579345594	36.95860965960594	1441	86	1.2450832777535697e-33	6.590196262253287e-36
model_08	cvd	mzid_335.220331_2.6439, points	classif	points	1.013885392779281	0.07901880439976698	12.830938160616752	1.1002376685298212e-37	0.8621024248246854	1.1720671624185772	36.95851349031282	1441	87	1.2453590170089047e-33	6.590196262253287e-36
model_08	cvd	mzid_405.226542_1.6600, points	classif	points	1.0147601431369924	0.07908714086376786	12.830911979546396	1.1006095498084609e-37	0.8628527654774338	1.1730865497586018	36.95836672320656	1441	88	1.245779949428197e-33	6.590196262253287e-36
model_08	cvd	mzid_307.191007_6.1646, points	classif	points	1.0144252422232103	0.07906253439003356	12.830669419460026	1.1040608695151867e-37	0.8625529573644439	1.1726892792788266	36.957006982253716	1441	89	1.2496864982042398e-33	6.590196262253287e-36
model_08	cvd	mzid_389.230961_5.7157, points	classif	points	1.0155403894069561	0.07914963061180978	12.830639657532767	1.1044850839708237e-37	0.8635131983222886	1.173990893791076	36.95684014488345	1441	90	1.2501666665465753e-33	6.590196262253287e-36
model_08	cvd	mzid_317.210296_3.8652, points	classif	points	1.0122688807173548	0.07889856433958341	12.83000380539877	1.1135870709732883e-37	0.8607130741031742	1.1702068323605113	36.953275819972696	1441	91	1.260469205634665e-33	6.590196262253287e-36
model_08	cvd	mzid_357.206973_6.5095, points	classif	points	1.0140430356066141	0.07903899920327936	12.829654295072869	1.1186218972314854e-37	0.8622236352763127	1.1722672599500348	36.951316683529384	1441	92	1.2661681254763184e-33	6.590196262253287e-36
model_08	cvd	mzid_371.218837_5.1941, points	classif	points	1.0142207610289187	0.07905914826977568	12.828632526726263	1.1334709885822497e-37	0.8623625034216389	1.1724862121607331	36.94558959124976	1441	93	1.2829758119762484e-33	6.590196262253287e-36
model_08	cvd	mzid_423.118756_1.9662, points	classif	points	1.0155910797604366	0.07916668607574541	12.82851575710439	1.135180397407725e-37	0.8635162601403487	1.1740589321404151	36.94493511699664	1441	94	1.284910691825804e-33	6.590196262253287e-36
model_08	cvd	mzid_349.204538_6.3844, points	classif	points	1.012902697926448	0.07896031470317579	12.82799722536705	1.1428022737217717e-37	0.8612297469235591	1.170965848609789	36.942028904215235	1441	95	1.2935378936256734e-33	6.590196262253287e-36
model_08	cvd	mzid_425.258000_6.6639, points	classif	points	1.013094551384409	0.07897851864618886	12.82746965567828	1.1506092057715555e-37	0.8613821991013587	1.171189178886015	36.93907215560185	1441	96	1.3023745600128236e-33	6.590196262253287e-36
model_08	cvd	mzid_341.210749_5.5038, points	classif	points	1.0122137932207065	0.07891078392429929	12.82731894023184	1.152849200079246e-37	0.8606288771534126	1.1701703609655594	36.93822749743784	1441	97	1.3049100095696986e-33	6.590196262253287e-36
model_08	cvd	mzid_357.207309_5.9090, points	classif	points	1.0118866002015385	0.07888734628826564	12.826982371849095	1.157867077153879e-37	0.8603497798637141	1.1698001385523378	36.93634129464314	1441	98	1.3105897446304756e-33	6.590196262253287e-36
model_08	cvd	mzid_407.244457_3.8260, points	classif	points	1.0132449538045976	0.07899436278774942	12.826800774722285	1.1605835083592214e-37	0.861505421667769	1.1713746040356	36.935323604958356	1441	99	1.3136644731118027e-33	6.590196262253287e-36
model_08	cvd	mzid_353.232895_4.5146, points	classif	points	1.0121633911244075	0.07891023176304815	12.826769970258537	1.1610449267506457e-37	0.8605795818614197	1.1701188143812105	36.93515097486746	1441	100	1.3141867525890558e-33	6.590196262253287e-36
model_08	cvd	mzid_345.240623_4.3912, points	classif	points	1.0140104935746392	0.07905432849868359	12.826754876445817	1.161271082713723e-37	0.8621564253247375	1.1722595288883049	36.93506638837129	1441	101	1.314442738523663e-33	6.590196262253287e-36
model_08	cvd	mzid_335.260451_4.8997, points	classif	points	1.0152802170419706	0.07915392007057497	12.826657430696164	1.1627322013157714e-37	0.8632463628186358	1.173740408474676	36.9345202997885	1441	102	1.3160965786693218e-33	6.590196262253287e-36
model_08	cvd	mzid_567.270284_5.0845, points	classif	points	1.0157288443682122	0.07918935948521091	12.826582396564348	1.1638585213865845e-37	0.8636214000270076	1.1742545857129185	36.93409980930425	1441	103	1.317371460357475e-33	6.590196262253287e-36
model_08	cvd	mzid_281.178490_4.2440, points	classif	points	1.013859715037416	0.07904527880556407	12.826315883220714	1.1678678661857617e-37	0.8620204189108853	1.1720898796997432	36.93260629098438	1441	104	1.3219096377356635e-33	6.590196262253287e-36
model_08	cvd	mzid_425.258391_1.6192, points	classif	points	1.0139604169313365	0.07905457735986687	12.826081054303216	1.1714119363946503e-37	0.862098502943587	1.1722031118004963	36.93129035493336	1441	105	1.3259211708051047e-33	6.590196262253287e-36
model_08	cvd	mzid_329.233501_2.5064, points	classif	points	1.0135965253744268	0.07902798763658075	12.825791921155407	1.175790261635326e-37	0.8617877002207179	1.1717878996453632	36.92967014113244	1441	106	1.3308769971450256e-33	6.590196262253287e-36
model_08	cvd	mzid_341.233354_4.2054, points	classif	points	1.0130454230262929	0.07898738258401533	12.825408184006628	1.1816263003693946e-37	0.861318559139281	1.1711601148109485	36.927519851160746	1441	107	1.3374828093881177e-33	6.590196262253287e-36
model_08	cvd	mzid_271.170514_5.0610, points	classif	points	1.0172363753213358	0.07931534129028964	12.825215888541772	1.1845616328136319e-37	0.8649040987022625	1.176032796677906	36.92644233798511	1441	108	1.34080531218175e-33	6.590196262253287e-36
model_08	cvd	mzid_297.243514_5.7768, points	classif	points	1.0144114831943836	0.07909789243231471	12.824759952516196	1.1915503579044771e-37	0.862487185496916	1.1727626084386886	36.9238875985564	1441	109	1.3487158501120777e-33	6.590196262253287e-36
model_08	cvd	mzid_337.234159_6.3480, points	classif	points	1.0124349190144228	0.07894385804552317	12.82474589005518	1.1917665618709265e-37	0.8607892051924657	1.1704596682700408	36.92380880400828	1441	110	1.3489605713817016e-33	6.590196262253287e-36
model_08	cvd	mzid_289.180518_4.1822, points	classif	points	1.0125921305272445	0.07895613960436891	12.824742136597752	1.1918242761711585e-37	0.86091961656419	1.1706380419016438	36.92378777271237	1441	111	1.3490258981981343e-33	6.590196262253287e-36
model_08	cvd	mzid_371.244846_5.4777, points	classif	points	1.0130413080418936	0.07899131550508844	12.82471752197412	1.1922028269485194e-37	0.8613018845849331	1.1711594935452359	36.92364985270727	1441	112	1.3494543798230291e-33	6.590196262253287e-36
model_08	cvd	mzid_305.173788_5.1941, points	classif	points	1.012205018838093	0.07892663129759916	12.824632221049614	1.1935156034636105e-37	0.8605916382314847	1.1701956142424303	36.9231718988576	1441	113	1.3509403115604607e-33	6.590196262253287e-36
model_08	cvd	mzid_475.223081_5.5641, points	classif	points	1.0157369677595682	0.07920245408539764	12.82456433312509	1.1945614216503419e-37	0.8636193569067264	1.1743048664866003	36.922791514898606	1441	114	1.352124073166022e-33	6.590196262253287e-36
model_08	cvd	mzid_305.248616_6.1491, points	classif	points	1.013500026161544	0.07902962174585905	12.824305668838013	1.198554517170482e-37	0.86168248140869	1.1716911547191475	36.9213422069638	1441	115	1.3566438579852684e-33	6.590196262253287e-36
